date,open,high,low,close,volume,name
13-Dec-16,30.3,30.64,30.2,30.59,25052903,CSCO
12-Dec-16,30.08,30.2,30.02,30.17,17287809,CSCO
9-Dec-16,29.98,30.07,29.73,30.06,21361984,CSCO
8-Dec-16,30.11,30.33,29.92,29.95,21369897,CSCO
7-Dec-16,29.48,30.04,29.32,29.95,30180093,CSCO
6-Dec-16,29.42,29.59,29.24,29.33,27352068,CSCO
5-Dec-16,29.33,29.6,29.29,29.53,20865842,CSCO
2-Dec-16,29.31,29.56,29.12,29.25,27069499,CSCO
1-Dec-16,29.84,29.85,29.4,29.45,25996185,CSCO
30-Nov-16,29.76,29.95,29.68,29.82,26224892,CSCO
29-Nov-16,29.94,30.1,29.79,29.83,23553735,CSCO
28-Nov-16,30.08,30.09,29.82,29.92,21468918,CSCO
25-Nov-16,29.6,30.14,29.55,30.09,17678862,CSCO
23-Nov-16,29.83,29.95,29.56,29.71,24496763,CSCO
22-Nov-16,30.08,30.19,29.85,29.89,26769272,CSCO
21-Nov-16,30.3,30.33,30.01,30.05,27481710,CSCO
18-Nov-16,30.11,30.36,30,30.18,38748563,CSCO
17-Nov-16,29.91,30.05,29.61,30.05,75252307,CSCO
16-Nov-16,31.62,31.89,31.51,31.57,27097140,CSCO
15-Nov-16,31.27,31.85,31.27,31.7,24160155,CSCO
26-Jan-17,30.76,30.84,30.56,30.74,20116824,CSCO
25-Jan-17,31.04,31.05,30.65,30.7,25095890,CSCO
24-Jan-17,30.34,30.75,30.29,30.6,24934210,CSCO
23-Jan-17,30.14,30.3,30.08,30.27,17155297,CSCO
20-Jan-17,30.12,30.25,30,30.1,22754366,CSCO
19-Jan-17,30.01,30.19,29.92,29.98,16866005,CSCO
18-Jan-17,30.12,30.18,29.95,30.03,15724040,CSCO
17-Jan-17,30,30.25,29.84,29.99,21983537,CSCO
13-Jan-17,30.1,30.22,30.01,30.07,17136585,CSCO
12-Jan-17,30.15,30.16,29.8,30.04,18611107,CSCO
11-Jan-17,30.33,30.41,30.03,30.15,22291322,CSCO
10-Jan-17,30.19,30.55,30.1,30.38,21046041,CSCO
9-Jan-17,30.22,30.33,30.08,30.18,17178503,CSCO
6-Jan-17,30.17,30.35,30.03,30.23,15923243,CSCO
5-Jan-17,30.1,30.36,30.07,30.17,18372532,CSCO
4-Jan-17,30.24,30.42,30.02,30.1,22280992,CSCO
3-Jan-17,30.37,30.56,30.21,30.54,22370578,CSCO
30-Dec-16,30.56,30.6,30.13,30.22,20190029,CSCO
29-Dec-16,30.37,30.55,30.33,30.46,10995584,CSCO
28-Dec-16,30.7,30.77,30.35,30.42,12022231,CSCO
27-Dec-16,30.64,30.82,30.6,30.68,14175488,CSCO
23-Dec-16,30.54,30.6,30.4,30.53,9167598,CSCO
22-Dec-16,30.4,30.48,30.25,30.46,12935767,CSCO
21-Dec-16,30.69,30.69,30.41,30.42,14488949,CSCO
20-Dec-16,30.83,30.87,30.46,30.56,17475171,CSCO
19-Dec-16,30.65,30.87,30.54,30.75,18178470,CSCO
16-Dec-16,30.7,30.72,30.27,30.59,45875473,CSCO
15-Dec-16,30.59,30.8,30.5,30.63,20914063,CSCO
14-Dec-16,30.6,31.06,30.41,30.46,27555980,CSCO
13-Dec-16,30.3,30.64,30.2,30.59,25052903,CSCO
12-Dec-16,30.08,30.2,30.02,30.17,17287809,CSCO
9-Dec-16,29.98,30.07,29.73,30.06,21361984,CSCO
8-Dec-16,30.11,30.33,29.92,29.95,21369897,CSCO
7-Dec-16,29.48,30.04,29.32,29.95,30180093,CSCO
6-Dec-16,29.42,29.59,29.24,29.33,27352068,CSCO
5-Dec-16,29.33,29.6,29.29,29.53,20865842,CSCO
2-Dec-16,29.31,29.56,29.12,29.25,27069499,CSCO
